Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	indicators11	indicators12	indicators13	indicators14	indicators15	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	rates11	rates12	rates13	rates14	rates15	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_Africa_Asia	geoSubstModelLogger.location.relGeoRate_Africa_Europe	geoSubstModelLogger.location.relGeoRate_Africa_NorthAmerica	geoSubstModelLogger.location.relGeoRate_Africa_Oceania	geoSubstModelLogger.location.relGeoRate_Africa_SouthAmerica	geoSubstModelLogger.location.relGeoRate_Asia_Europe	geoSubstModelLogger.location.relGeoRate_Asia_NorthAmerica	geoSubstModelLogger.location.relGeoRate_Asia_Oceania	geoSubstModelLogger.location.relGeoRate_Asia_SouthAmerica	geoSubstModelLogger.location.relGeoRate_Europe_NorthAmerica	geoSubstModelLogger.location.relGeoRate_Europe_Oceania	geoSubstModelLogger.location.relGeoRate_Europe_SouthAmerica	geoSubstModelLogger.location.relGeoRate_NorthAmerica_Oceania	geoSubstModelLogger.location.relGeoRate_NorthAmerica_SouthAmerica	geoSubstModelLogger.location.relGeoRate_Oceania_SouthAmerica	freqParameter.norovirus1	freqParameter.norovirus2	freqParameter.norovirus3	freqParameter.norovirus4	
133000000	-2.079173050519E4	-1.889279306625E4	-1.898937438945E3	-1.858599237651E4	7.833676923606E0	3.075219262196E-1	1.776007397304E1	6.736063010361E-3	6.093347027215E-1	6.531822220829E-3	2.105496615158E-5	6.666626130118E-1	-1.857768422804E3	4.727747007572E0	2.40592521275E1	5.61572267183E1	1.135787473333E1	8.865828743944E-1	26	68	223	107	17	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	4.923179875984E-1	6.702752913329E-2	1.631499208201E-1	1.045734387004E0	5.763137284646E-3	3.175677402391E0	4.594040152615E-1	6.999954194968E-1	6.628118361209E0	4.501055378513E-1	6.91330989218E-1	2.873658517458E-1	1.492250443114E0	5.938707937129E-1	8.408349115357E-2	3.26798598073E-1	0E0	0E0	0E0	1.045734387004E0	5.763137284646E-3	0E0	4.594040152615E-1	6.999954194968E-1	0E0	4.501055378513E-1	6.91330989218E-1	0E0	1.492250443114E0	5.938707937129E-1	0E0	2.339451141241E-1	2.912401488128E-1	1.970919066565E-1	2.777228304066E-1	
134000000	-2.078809685686E4	-1.883779513205E4	-1.950301724813E3	-1.852782587672E4	8.36111322431E0	2.569227427826E-1	1.689232020524E1	5.808560371717E-3	6.21943657663E-1	5.46571311204E-3	1.444483391375E-5	6.484036858695E-1	-1.904837962207E3	4.287763595439E0	1.821090590205E1	6.326808345148E1	1.366324473206E1	1.096208363698E0	22	68	215	124	12	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	2.963034787857E-1	4.722399064585E0	1.589551412737E0	9.975586518901E-1	2.749629117337E-2	3.0235690047E-1	1.681823247168E0	2.012900371073E0	1.020638910841E-1	1.343406972981E0	7.288969594641E-1	1.643010971588E-1	1.151209742915E0	2.660011632026E-1	1.554605734329E-1	2.156309885234E-1	2.963034787857E-1	0E0	0E0	9.975586518901E-1	0E0	0E0	1.681823247168E0	2.012900371073E0	1.020638910841E-1	1.343406972981E0	7.288969594641E-1	1.643010971588E-1	1.151209742915E0	2.660011632026E-1	0E0	2.457078294566E-1	2.77172593634E-1	1.908270257275E-1	2.862925511819E-1	
135000000	-2.076501381582E4	-1.886320584495E4	-1.901807970865E3	-1.854490221817E4	9.031028001846E0	2.659456888691E-1	1.84202392472E1	6.645115167874E-3	5.978495763193E-1	6.316042904664E-3	2.104229736776E-5	7.038966117567E-1	-1.858382772702E3	3.837012755764E0	1.244443148344E1	5.655621737694E1	1.394282784599E1	1.199712228758E0	20	69	227	113	12	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	2.889991942595E-1	9.759379103252E-1	2.997495912292E0	7.998708179313E-1	1.559697887852E0	1.988326176284E-1	2.553180950201E0	1.366172825646E0	3.556000797357E-1	1.236058670626E0	6.507778032714E-1	4.444896788161E-1	1.174601815945E0	3.590631669327E-1	2.878329033323E-1	3.473946043532E-1	2.889991942595E-1	0E0	0E0	7.998708179313E-1	0E0	0E0	2.553180950201E0	1.366172825646E0	3.556000797357E-1	1.236058670626E0	6.507778032714E-1	4.444896788161E-1	1.174601815945E0	3.590631669327E-1	0E0	2.461194382199E-1	2.828524921769E-1	1.928740690358E-1	2.781540005674E-1	
136000000	-2.07865552896E4	-1.886706146468E4	-1.919493824912E3	-1.854850820257E4	9.008744510417E0	2.496950998561E-1	1.823767363992E1	6.492681629939E-3	6.374932380593E-1	6.189372649226E-3	2.118981230894E-5	6.941926059228E-1	-1.877595090607E3	4.730888414891E0	1.397040649555E1	5.718319681854E1	1.647927835613E1	3.188792112624E0	27	61	231	101	21	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1.895775346117E-1	5.833618689196E-1	3.082508196405E0	7.536040588166E-1	7.396879076257E-1	7.901292605042E-1	1.178345053694E0	9.881711693501E-1	8.942886583021E-2	1.294153679828E0	2.464615890577E0	4.086847590947E-1	1.507083723394E0	4.026156661503E-1	4.105829266544E0	3.584163449627E-1	0E0	0E0	0E0	7.536040588166E-1	0E0	0E0	1.178345053694E0	9.881711693501E-1	8.942886583021E-2	1.294153679828E0	0E0	0E0	1.507083723394E0	4.026156661503E-1	0E0	2.435747470955E-1	2.723447755705E-1	2.067140581412E-1	2.773664191927E-1	
137000000	-2.086458713298E4	-1.889002061228E4	-1.974566520699E3	-1.857352063812E4	8.658820747395E0	2.624891073067E-1	1.999647690033E1	6.365064226814E-3	6.389394312615E-1	5.704691623424E-3	1.892369402851E-5	7.209418138185E-1	-1.927376411114E3	4.653836633537E0	1.631239013888E1	5.832655487724E1	1.10979540476E1	9.042927072642E-1	17	57	253	104	10	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	8.639284991818E-1	4.548501483675E-1	8.42178162241E-1	2.473930722269E0	1.878563102946E-1	3.230230101142E-2	1.564966185523E0	3.124653074709E0	9.327455934769E-1	3.027145743772E0	8.883364335556E-1	8.212187622153E-1	2.950357998956E0	1.320712807776E0	1.281600967219E0	3.073828228505E-1	0E0	4.548501483675E-1	0E0	2.473930722269E0	0E0	0E0	1.564966185523E0	3.124653074709E0	9.327455934769E-1	3.027145743772E0	8.883364335556E-1	0E0	2.950357998956E0	1.320712807776E0	0E0	2.507225992559E-1	2.768259798773E-1	1.861987656938E-1	2.86252655173E-1	
138000000	-2.082761209461E4	-1.887505827068E4	-1.952553823931E3	-1.854873895139E4	8.528956715722E0	2.982259476383E-1	1.909632707951E1	6.41071477295E-3	5.923422787942E-1	6.020905134352E-3	1.647034309744E-5	6.418318465571E-1	-1.913384674858E3	7.052253477699E0	1.486621235964E1	5.889115410648E1	1.091960243924E1	6.354266912531E-1	19	57	258	102	5	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	5.482122153944E-1	9.853751529085E-1	1.058414524085E0	9.283748972779E-1	1.591813757984E-1	2.032819568509E-1	7.87335438471E-1	2.455255953201E0	6.924996802963E-1	6.708125693729E-1	7.454820136533E-1	2.14289186622E-1	2.630243665408E0	7.124510354528E-1	4.964893915985E-1	3.530987015453E-1	0E0	0E0	0E0	9.283748972779E-1	0E0	0E0	7.87335438471E-1	2.455255953201E0	6.924996802963E-1	6.708125693729E-1	7.454820136533E-1	2.14289186622E-1	2.630243665408E0	7.124510354528E-1	0E0	2.625941452537E-1	2.83664087859E-1	1.821926133101E-1	2.715491535772E-1	
139000000	-2.085800115791E4	-1.885827158019E4	-1.999729577725E3	-1.854895119058E4	8.711173202025E0	2.79997324806E-1	1.92522114301E1	5.328669004396E-3	5.594066880407E-1	5.224569790691E-3	1.047754816843E-5	6.000894672617E-1	-1.953155291389E3	4.382348604845E0	1.978183497282E1	7.280018272911E1	1.076820560785E1	5.450406701551E-1	25	56	249	103	8	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	3.222023705602E-1	3.378285242381E-2	3.42129001424E0	7.025351507865E-1	5.138130063802E-1	4.387300879155E-1	1.001268126332E0	2.219799360365E0	3.238739575831E-1	6.018962243103E-1	5.715282132319E-1	1.000738087154E0	1.837556929721E0	3.175922002289E-1	9.968204169521E-1	2.097530561936E-1	3.222023705602E-1	0E0	0E0	7.025351507865E-1	0E0	0E0	1.001268126332E0	2.219799360365E0	3.238739575831E-1	6.018962243103E-1	5.715282132319E-1	1.000738087154E0	1.837556929721E0	3.175922002289E-1	0E0	2.495179442725E-1	2.916976642798E-1	1.900560613613E-1	2.687283300864E-1	
140000000	-2.076451058223E4	-1.881718970686E4	-1.947320875365E3	-1.850103374178E4	8.59496101405E0	2.609333117233E-1	1.754525889509E1	5.996965763995E-3	6.097230499215E-1	5.701953198635E-3	1.355122283752E-5	6.212103319643E-1	-1.906961284161E3	2.53917089765E0	1.476286097964E1	5.620890022876E1	1.397134210516E1	2.097544635974E0	13	68	257	79	24	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1.742065056789E0	3.807115775121E0	7.973703706803E-1	6.127420219705E-1	2.826895559725E-2	9.869160281637E-2	9.643865651014E-1	6.067916290218E-1	2.416970090632E-1	3.326543534573E-1	4.42233210752E-1	8.785176390422E-1	5.078575039373E-1	2.526741342263E-1	8.630685023026E-1	2.554905509274E-1	0E0	0E0	0E0	6.127420219705E-1	0E0	9.869160281637E-2	9.643865651014E-1	6.067916290218E-1	2.416970090632E-1	3.326543534573E-1	4.42233210752E-1	0E0	5.078575039373E-1	2.526741342263E-1	0E0	2.496556555117E-1	2.89753173157E-1	1.851880821845E-1	2.754030891467E-1	
141000000	-2.084927975603E4	-1.890206589982E4	-1.94721385621E3	-1.86037607403E4	9.026929277485E0	2.928018280972E-1	1.820239042286E1	6.233112639726E-3	5.363461024249E-1	6.1508758657E-3	1.247063249533E-5	5.44197978431E-1	-1.907034524176E3	3.526880199115E0	1.785498723549E1	5.583889812874E1	9.275699325195E0	1.776850581935E0	30	46	272	86	7	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	4.317260615915E-1	2.725556593687E0	2.554636340588E0	6.578464771578E-1	1.079992092149E-1	2.037306742749E0	7.462499365899E-1	6.899052541536E-1	2.190559688414E-1	7.289104848407E-1	2.840769606279E-1	2.221512354147E-1	1.381952448815E0	7.585742376249E-1	7.509977446017E-2	2.748497531519E-1	0E0	0E0	0E0	6.578464771578E-1	0E0	0E0	7.462499365899E-1	6.899052541536E-1	2.190559688414E-1	7.289104848407E-1	2.840769606279E-1	0E0	1.381952448815E0	7.585742376249E-1	7.509977446017E-2	2.50419756629E-1	2.72746400641E-1	1.976318569741E-1	2.792019857559E-1	
142000000	-2.074566511639E4	-1.883752960382E4	-1.908135512573E3	-1.852584114481E4	8.66856203627E0	2.930945289086E-1	1.958694099557E1	7.074769391657E-3	6.719504479094E-1	6.09269095733E-3	1.992198482875E-5	6.955241066565E-1	-1.871957905602E3	3.604460480325E0	1.526633370517E1	5.676411105023E1	6.888897973095E0	3.230489136602E-1	11	68	269	86	7	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	4.413530484178E-1	8.284931864487E-1	6.627668543486E-1	7.596664155428E-1	6.911642618817E-3	4.146691989932E-1	9.323363137173E-1	9.057610392905E-1	1.902246098796E0	6.979010561315E-1	1.48195122093E-1	2.748659207191E-1	1.408009979721E0	8.472301037013E-1	1.007286167209E-1	2.370435880423E-1	4.413530484178E-1	0E0	0E0	0E0	0E0	4.146691989932E-1	9.323363137173E-1	9.057610392905E-1	0E0	6.979010561315E-1	0E0	2.748659207191E-1	1.408009979721E0	8.472301037013E-1	1.007286167209E-1	2.457208304031E-1	2.710767359583E-1	1.969581812324E-1	2.862442524063E-1	
