Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
162000000	-1.963072049475E4	-1.784220552503E4	-1.788514969725E3	-1.757329079864E4	1.071763951791E1	2.533331893493E-1	2.137804358439E1	6.596239754996E-3	6.354427354352E-1	6.341702839484E-3	1.867138018923E-5	6.573945176239E-1	-1.754350033258E3	1.218791094653E1	3.562905317136E1	1.912327917329E1	1.48967587389E1	2.884334850469E0	59	210	27	118	28
162500000	-1.964086360744E4	-1.783341316923E4	-1.807450438211E3	-1.756756362802E4	1.190568723856E1	2.673173670252E-1	2.326487348945E1	7.000342605997E-3	6.974918128306E-1	6.523452715668E-3	2.880743334793E-5	7.672418095331E-1	-1.759257324578E3	1.13743679888E1	2.503850349323E1	3.19672208906E1	2.125341846545E1	5.202428724731E0	37	97	88	181	39
163000000	-1.965362604E4	-1.788260120971E4	-1.771024830291E3	-1.762342008037E4	1.021515922125E1	2.666769392478E-1	2.101491898753E1	7.008751179845E-3	5.779525830019E-1	6.494699604779E-3	1.61298445574E-5	6.021558821969E-1	-1.727428186499E3	1.395478138603E1	2.352242208038E1	3.736732754431E1	1.16683726031E1	3.760177668162E0	34	98	127	153	30
163500000	-1.96862294178E4	-1.785811642886E4	-1.828112988939E3	-1.759297622154E4	1.013561236106E1	2.489022680314E-1	1.934455723909E1	6.323314872363E-3	6.255523597198E-1	6.228097303282E-3	1.593613827711E-5	6.293909634656E-1	-1.788335910934E3	1.274963474175E1	3.549834948478E1	5.86756676178E1	1.774489652245E1	5.762810050924E0	23	174	21	187	37
164000000	-1.960319584557E4	-1.78494301484E4	-1.753765697171E3	-1.758146127865E4	9.64067506965E0	2.531962626621E-1	1.940015739429E1	6.875739267374E-3	6.175083084139E-1	6.856892186368E-3	2.257544314489E-5	6.8696195019E-1	-1.711694300124E3	1.320827580782E1	1.723747752446E1	3.687246831622E1	1.257255754481E1	5.100857017298E0	35	30	152	199	26
164500000	-1.95882549813E4	-1.785209462004E4	-1.73616036126E3	-1.759128444392E4	1.054010115375E1	2.590119924134E-1	1.918185168447E1	7.487206927348E-3	7.088160920195E-1	7.062741372607E-3	3.292667718594E-5	7.60528195753E-1	-1.698110111623E3	6.099351924004E0	2.598468264483E1	6.725467844741E0	1.165702949014E1	3.11584373233E0	25	253	2	143	19
165000000	-1.961923285339E4	-1.784419787681E4	-1.77503497658E3	-1.758020907692E4	9.155687612236E0	2.777552343088E-1	2.449698546265E1	6.946151706652E-3	6.965509662231E-1	6.92189441375E-3	3.105402945927E-5	7.760382587236E-1	-1.731576145898E3	1.194825047915E1	1.664125756611E1	3.10611252008E1	1.35729740526E1	8.011598391443E0	32	52	185	139	34
165500000	-1.966028412691E4	-1.786902452489E4	-1.791259602018E3	-1.761494633386E4	1.015827488246E1	2.794984823562E-1	2.227576934552E1	6.965777331983E-3	5.907642807909E-1	6.82686645348E-3	1.824573838035E-5	6.215780742834E-1	-1.748817845038E3	9.539401495585E0	2.559873724149E1	3.415461328196E1	1.181858272746E1	2.7582965509E0	26	52	226	120	18
166000000	-1.964392925014E4	-1.783997572862E4	-1.803953521523E3	-1.757997237382E4	9.91986335334E0	2.85206952371E-1	2.201724868506E1	7.02656499456E-3	6.868937570613E-1	6.81761313526E-3	2.253902874502E-5	7.150856678948E-1	-1.765824002457E3	1.171438701325E1	3.158784819583E1	2.745843524352E1	1.140443334225E1	2.068622465427E0	38	51	219	117	17
166500000	-1.969435694961E4	-1.786288691422E4	-1.831470035393E3	-1.759296361273E4	1.111757985495E1	2.791807135215E-1	2.057065708472E1	6.293473548523E-3	5.979458988732E-1	6.314143660174E-3	1.565680722668E-5	6.392801349732E-1	-1.793206007173E3	2.800715345052E1	2.704849219819E1	1.722159032925E1	1.54101220177E1	4.454878935875E0	137	166	30	73	36
167000000	-1.966417753334E4	-1.784130681747E4	-1.822870715865E3	-1.756602161035E4	1.024556013531E1	2.662132836057E-1	2.177484186367E1	6.104304421424E-3	5.315208445168E-1	6.192623838145E-3	1.081167606875E-5	5.390366363885E-1	-1.788758105583E3	1.256884537467E1	3.04721892106E1	1.376110561973E1	3.474120400531E0	4.885256058524E0	38	251	121	20	12
167500000	-1.968970075921E4	-1.786425446797E4	-1.825446291235E3	-1.759773336206E4	1.051342247675E1	2.640721257065E-1	2.006004581759E1	6.470530301445E-3	5.630520765619E-1	6.466330049765E-3	1.486533632082E-5	5.896615569011E-1	-1.78544354249E3	2.045459710114E1	3.184763763398E1	5.652277596545E1	1.846118825281E1	5.192005957265E0	31	178	30	168	35
168000000	-1.963616688618E4	-1.788602237397E4	-1.75014451221E3	-1.761683875824E4	9.820235683306E0	2.498795749789E-1	2.210518474768E1	6.893074118661E-3	5.89223296897E-1	6.855787415543E-3	1.990627197868E-5	6.530332207473E-1	-1.71318007193E3	1.22142158128E1	3.046785788449E1	1.123625568023E1	1.367760624404E1	4.149841299683E0	38	260	67	45	32
168500000	-1.962114786766E4	-1.790056332122E4	-1.720584546441E3	-1.763878733084E4	1.011451349093E1	2.66882011277E-1	2.29721134859E1	7.344111289988E-3	6.973893923788E-1	6.852350331366E-3	2.902565420665E-5	7.320330844003E-1	-1.672306980943E3	1.032927437115E1	2.758370655602E1	1.302868656907E1	6.038280524463E0	4.805856126127E0	46	217	145	21	13
169000000	-1.960946738496E4	-1.786179431832E4	-1.747673066636E3	-1.75883760974E4	1.058400288521E1	2.417909150652E-1	2.309855827443E1	7.724976118002E-3	6.489290938123E-1	7.447787569667E-3	2.460047775998E-5	6.585065606975E-1	-1.708348325748E3	1.379630676212E1	2.263188774947E1	1.509557444936E1	1.491279619967E1	4.130651384415E0	33	249	102	22	36
169500000	-1.969671101652E4	-1.787651432638E4	-1.820196690145E3	-1.761464819294E4	9.253401367439E0	2.774555391584E-1	2.171031157883E1	7.122633204737E-3	6.202293875251E-1	6.934166443449E-3	1.892630316031E-5	6.241908848547E-1	-1.778569853921E3	1.361989706675E1	3.713264298746E1	2.721954461325E1	1.84325224126E1	3.059500678986E0	30	193	36	146	37
170000000	-1.965793262985E4	-1.785055389617E4	-1.807378733679E3	-1.758389449962E4	1.327443805445E1	2.492210621799E-1	2.462473268635E1	6.31349952258E-3	6.491701764424E-1	6.242370784649E-3	1.71814214511E-5	6.675258857196E-1	-1.76719506627E3	1.756132756067E1	3.369235665191E1	3.245374214914E1	1.268464493378E1	6.325744671352E0	52	217	25	117	31
170500000	-1.96831628543E4	-1.787670854107E4	-1.806454313233E3	-1.7595452621E4	1.093528179474E1	2.692541940422E-1	1.946557833527E1	6.451471670918E-3	6.420443095347E-1	6.359239055639E-3	2.021432903584E-5	6.962350285827E-1	-1.764694395275E3	1.374251230067E1	2.950871778624E1	2.278013048474E1	1.393991900837E1	4.312133465056E0	31	209	77	104	21
171000000	-1.961186451379E4	-1.784512391549E4	-1.766740598303E3	-1.757123176472E4	1.012167660219E1	2.535361492947E-1	2.090715947613E1	6.903036102147E-3	6.817824062349E-1	6.779079823257E-3	2.397427726539E-5	7.107650349045E-1	-1.727163808347E3	1.030936551263E1	2.846966478852E1	1.09678187288E1	4.856171606125E0	4.31899749646E0	36	273	107	19	7
171500000	-1.960688478953E4	-1.786920621347E4	-1.737678576054E3	-1.759711944059E4	1.244895191072E1	2.650839434918E-1	1.914020023602E1	7.305610661392E-3	7.074917354531E-1	6.880285807331E-3	3.311850576202E-5	7.822736542286E-1	-1.704206262441E3	6.978072336646E0	1.523278813763E1	2.629867053415E1	1.000137482909E1	3.819579188128E0	27	17	266	102	30
172000000	-1.965980275533E4	-1.788157443333E4	-1.778228321994E3	-1.760743145551E4	1.130618184307E1	2.587458221449E-1	2.297285753032E1	6.491055417962E-3	5.770021027354E-1	6.558000465446E-3	1.613771927095E-5	6.117537975395E-1	-1.741373051469E3	8.601458059272E0	3.058851283533E1	2.575318612973E1	1.07875772102E1	3.313991183263E0	20	25	267	103	27
172500000	-1.969870143603E4	-1.787644924726E4	-1.82225218877E3	-1.758903517412E4	1.032789813073E1	2.683729213094E-1	1.812069584762E1	6.292342246316E-3	5.701785908244E-1	6.168523622651E-3	1.408227610203E-5	6.10619465274E-1	-1.788458936324E3	2.164324369607E1	7.141453191289E0	3.141072475409E1	1.265153917387E1	4.047596497199E0	7	16	285	106	28
173000000	-1.97634450622E4	-1.789854590728E4	-1.864899154922E3	-1.762355813352E4	1.042983525576E1	2.464489303439E-1	2.156449370951E1	5.835177152439E-3	5.523797393538E-1	6.135186035916E-3	1.450245029808E-5	6.287014877089E-1	-1.822590698221E3	9.940023575185E0	1.640543124251E1	3.664351560103E1	1.392768695051E1	5.809413597541E0	35	22	263	89	33
173500000	-1.962323651909E4	-1.782530076803E4	-1.797935751065E3	-1.755454304544E4	1.232904083946E1	2.627277375949E-1	2.202845268671E1	6.295991848168E-3	6.413984286007E-1	6.330973774031E-3	2.348101261511E-5	7.381742300044E-1	-1.759261748012E3	8.730599159102E0	2.537835886293E1	3.052668367365E1	1.125859428872E1	5.139320472616E0	27	5	265	130	15
174000000	-1.959861099063E4	-1.785477198864E4	-1.743839001985E3	-1.7575860199E4	1.008149165681E1	2.487191798544E-1	2.262944350462E1	7.268871488207E-3	6.760480802309E-1	7.058941935921E-3	2.732360866966E-5	7.333682043056E-1	-1.705658502619E3	1.040989360321E1	2.749578925674E1	1.664965672461E1	9.767450261294E0	2.842447069776E0	44	222	69	78	29
174500000	-1.965295443052E4	-1.785018995442E4	-1.802764476098E3	-1.758108557685E4	1.028190565944E1	2.559479193194E-1	2.013807804839E1	7.017347193653E-3	6.828949662283E-1	6.88708639276E-3	2.236388817541E-5	6.764801125251E-1	-1.759831753943E3	2.137452276156E1	1.937167067424E1	2.850722468831E1	1.59908173075E1	3.431834719477E0	14	4	233	159	32
175000000	-1.96769617604E4	-1.786081901358E4	-1.816142746825E3	-1.759385182087E4	1.516061801505E1	2.683193590438E-1	2.579489011843E1	6.626923812067E-3	6.807847218712E-1	6.222674706539E-3	2.688355403374E-5	7.687210342383E-1	-1.769472104699E3	6.89570403451E0	1.058543224642E1	2.673732496992E1	1.561948435428E1	6.473765638232E0	7	14	276	110	35
175500000	-1.964217163102E4	-1.784169043236E4	-1.800481198667E3	-1.75729550593E4	1.117380363668E1	2.654344562447E-1	2.193490216785E1	6.216143051311E-3	5.914003809008E-1	6.269648269919E-3	1.820702320892E-5	6.746110773752E-1	-1.761747687638E3	9.74002999872E0	3.095162174549E1	4.103583511144E1	1.947045545726E1	4.689357822454E0	40	181	25	148	48
176000000	-1.967279593299E4	-1.78487125488E4	-1.824083384193E3	-1.75724556811E4	1.513103737174E1	2.814081682522E-1	2.432922185956E1	6.904422280139E-3	6.617240539399E-1	6.333514384099E-3	2.648416049784E-5	7.486741470886E-1	-1.785594915379E3	7.708653277832E0	1.371986106751E1	2.943431067746E1	1.350870302988E1	4.117754590996E0	6	24	292	93	27
176500000	-1.969001810963E4	-1.785756460593E4	-1.832453503701E3	-1.758913449187E4	1.121323634036E1	2.66582629901E-1	2.229546450932E1	6.865275530821E-3	5.809112944249E-1	6.511021759194E-3	1.651741028833E-5	6.05177926984E-1	-1.791646369374E3	1.460796703179E1	3.036094792581E1	1.696212037829E1	1.310283375526E1	4.697226667981E0	55	238	11	99	39
177000000	-1.963754120141E4	-1.78093974889E4	-1.828143712515E3	-1.753167954285E4	1.578575884167E1	2.525766718657E-1	2.112011355719E1	5.983743473365E-3	6.551562641499E-1	5.883215054991E-3	2.149069981913E-5	7.476067963498E-1	-1.779879727845E3	1.065795655106E1	3.012746353063E1	1.238586180849E1	1.375119287847E1	6.052456813415E0	19	298	68	33	24
177500000	-1.973116424026E4	-1.789495845526E4	-1.836205784996E3	-1.761511057769E4	1.324497147235E1	2.524356854771E-1	2.017829719777E1	6.541168675833E-3	6.292945530377E-1	6.258867017519E-3	1.697173976167E-5	6.512516481965E-1	-1.799073497234E3	1.632872626066E1	3.64224605247E1	2.752554119446E1	1.349671968149E1	4.373578161507E0	37	172	85	126	22
178000000	-1.963397807595E4	-1.783984706638E4	-1.794131009574E3	-1.757986981599E4	1.027577072476E1	2.645830201016E-1	2.07494755785E1	6.823347465446E-3	6.321767520067E-1	6.678815831351E-3	2.085994425378E-5	6.794740042278E-1	-1.755108946927E3	1.221869328889E1	2.72488430902E1	1.959553473268E1	1.177286716922E1	3.527069993985E0	34	235	134	18	21
178500000	-1.972603997346E4	-1.788168704228E4	-1.844352931184E3	-1.76054751441E4	1.263600214657E1	2.537948721664E-1	2.332571357931E1	6.435726718226E-3	7.020702560783E-1	6.18185678142E-3	2.127474855145E-5	7.152469579216E-1	-1.805512647925E3	1.371146678042E1	3.062229019204E1	1.18332293861E1	1.652142381284E1	4.429997529626E0	23	271	54	60	34
179000000	-1.967598348087E4	-1.788007824712E4	-1.795905233748E3	-1.760013648034E4	9.948192746256E0	2.607694040131E-1	2.20041202877E1	6.831935779659E-3	5.872802716727E-1	6.677466063033E-3	1.767184611347E-5	6.096460133281E-1	-1.759775579527E3	8.213679080008E0	3.175822007108E1	1.780282511054E1	1.8266279883E1	4.934659826228E0	42	187	119	54	40
179500000	-1.965927147039E4	-1.785943735587E4	-1.799834114515E3	-1.757270492651E4	1.361712900311E1	2.713382337162E-1	2.18333686608E1	6.943091059659E-3	6.043082122935E-1	6.584688024446E-3	2.096861997507E-5	6.634106427217E-1	-1.76721777815E3	1.653202773009E1	2.396311521714E1	3.451523715957E1	1.427413974793E1	4.012714033255E0	24	16	224	146	32
180000000	-1.964614846412E4	-1.78496164065E4	-1.796532057616E3	-1.757066900702E4	1.036666111509E1	2.699395280213E-1	2.109931631384E1	6.140993682394E-3	6.234049610501E-1	6.231924456655E-3	1.888593898434E-5	6.978524738367E-1	-1.75326694469E3	1.65351971952E1	2.764303058635E1	5.038700824016E1	1.861316902086E1	3.45813236738E0	27	223	3	156	33
180500000	-1.963925363963E4	-1.786128948374E4	-1.777964155886E3	-1.758932596932E4	1.034551156462E1	2.495406145504E-1	2.215501391024E1	6.818660570138E-3	4.991781545002E-1	6.821479700557E-3	1.370607637248E-5	5.386720368011E-1	-1.740095585534E3	1.078892350502E1	3.080854726064E1	4.55896467479E1	1.802560809124E1	4.389108772669E0	29	183	16	175	39
181000000	-1.967284271928E4	-1.781995781308E4	-1.852884906194E3	-1.756004110678E4	1.152191770029E1	2.634092985701E-1	2.249197050918E1	5.987933138407E-3	6.240535790309E-1	5.845498486956E-3	1.81795669516E-5	6.970121027983E-1	-1.811018054249E3	2.23042348199E1	6.835083243851E1	3.979516604466E1	1.901372627337E1	3.475055183842E0	67	1	196	150	28
181500000	-1.966668392152E4	-1.783640515339E4	-1.83027876813E3	-1.757018226273E4	1.203888090886E1	2.628236619966E-1	2.096499466867E1	6.049969046458E-3	7.26995238784E-1	5.891327771864E-3	2.130507641533E-5	7.67618437984E-1	-1.792131810198E3	9.728834797733E0	2.727180997193E1	3.562572278511E1	1.742982498396E1	4.619498769131E0	35	98	155	123	31
182000000	-1.96715469889E4	-1.789242387647E4	-1.779123112422E3	-1.762540834029E4	1.152536200548E1	2.707307235821E-1	2.426438162168E1	6.960721680438E-3	6.243821756411E-1	6.816734641227E-3	1.989995462284E-5	6.384054809462E-1	-1.731158507681E3	1.053924953811E1	2.540542089268E1	4.984839087309E1	1.521430294264E1	3.422354212576E0	39	162	32	182	27
182500000	-1.963415522603E4	-1.785992129904E4	-1.77423392699E3	-1.758974351945E4	1.054714303092E1	2.493772451365E-1	2.052819903273E1	6.705617745626E-3	6.391987770918E-1	6.459885689913E-3	1.964223924478E-5	6.551185652559E-1	-1.732709296903E3	1.2243614274E1	3.361299583812E1	1.77000253921E1	1.460471602738E1	5.563784033631E0	25	199	121	53	44
183000000	-1.964155280504E4	-1.78633967201E4	-1.778156084945E3	-1.759117774293E4	1.207953174364E1	2.529237070085E-1	1.834091730069E1	6.80757109846E-3	6.254306273603E-1	6.528769968387E-3	1.975056883253E-5	6.507721900303E-1	-1.737293288336E3	1.210821848616E1	3.362635303529E1	1.359460333038E1	1.319316354167E1	3.52577250306E0	50	200	121	53	18
183500000	-1.96093299888E4	-1.783342860382E4	-1.775901384982E3	-1.755617131603E4	1.057541147078E1	2.8308060342E-1	2.167943981443E1	7.300233021945E-3	7.117067379043E-1	7.045675918027E-3	3.139688022657E-5	7.716240859261E-1	-1.733926361462E3	1.245519104244E1	3.578187131776E1	1.391204485441E1	1.131789538682E1	2.818033846933E0	43	211	84	77	27
184000000	-1.961911278577E4	-1.787606780124E4	-1.743044984534E3	-1.759960074457E4	1.171449945198E1	2.49918520043E-1	2.276875205309E1	6.620066946795E-3	7.036346110174E-1	6.541725296988E-3	2.27858151544E-5	7.132482646314E-1	-1.706458128984E3	8.758535759915E0	3.047383219149E1	1.267596329286E1	3.294593078684E0	1.874824049278E0	26	224	166	9	17
184500000	-1.961892402435E4	-1.784325127735E4	-1.775672746999E3	-1.75720807554E4	1.083045306277E1	2.693518499979E-1	2.30933354847E1	7.384330583788E-3	7.494899192287E-1	6.967972798242E-3	3.722787973814E-5	8.311913581847E-1	-1.732843164754E3	9.319191715864E0	3.342020932533E1	1.250969847552E1	3.690876386945E0	2.706783400703E0	32	230	146	14	20
185000000	-1.96472609012E4	-1.782651704076E4	-1.820743860441E3	-1.755192749771E4	1.138910458685E1	2.490158297131E-1	2.124275007138E1	6.429853848342E-3	6.396617898968E-1	6.032361433158E-3	1.784099422397E-5	6.66637525558E-1	-1.781873735157E3	1.307019925927E1	2.658352393686E1	1.783338978358E1	2.082423522769E1	5.17720557172E0	38	257	76	30	41
185500000	-1.966813461045E4	-1.78989610759E4	-1.769173534547E3	-1.762425437882E4	1.022864464048E1	2.69131245492E-1	1.944594326404E1	7.086922526163E-3	5.092043186064E-1	6.84610579825E-3	1.270195369701E-5	5.174760483002E-1	-1.73253197716E3	9.223874440537E0	3.065242175293E1	6.125212636104E1	1.214289455027E1	4.185486514437E0	33	150	56	168	35
186000000	-1.962622274138E4	-1.784734921171E4	-1.778873529677E3	-1.757205785906E4	1.183904613242E1	2.612869577095E-1	2.077546038972E1	6.571341234612E-3	6.123319328746E-1	6.478214630448E-3	1.86884821157E-5	6.384572998818E-1	-1.741017858756E3	8.754602221565E0	1.996471967025E1	4.025345157409E1	1.682434328378E1	4.688892046246E0	24	55	187	142	34
186500000	-1.964729997118E4	-1.784141473318E4	-1.805885237999E3	-1.756750992275E4	1.146616850373E1	2.5434276931E-1	2.175446750875E1	6.54886106619E-3	6.537320189785E-1	6.663440066467E-3	2.002737905785E-5	6.800469310826E-1	-1.767025581334E3	2.028197284247E1	2.188803686889E1	3.510525137327E1	1.487857755059E1	3.257281091207E0	10	52	211	139	30
187000000	-1.966031744505E4	-1.787509334645E4	-1.785224098594E3	-1.760205092618E4	9.811557045094E0	2.634912406329E-1	2.148586081739E1	6.761447541824E-3	6.40541289339E-1	6.897551735416E-3	2.248258270544E-5	6.788790820323E-1	-1.74480903308E3	1.278316189814E1	3.121524988126E1	3.007556322962E1	1.716261472012E1	4.823375062028E0	42	86	184	101	29
187500000	-1.968511640359E4	-1.787715209379E4	-1.807964309797E3	-1.760298092078E4	1.066450963994E1	2.672332516009E-1	2.270680278682E1	6.852429737268E-3	6.033696748961E-1	6.616230045966E-3	1.972723729512E-5	6.437276304828E-1	-1.765448420178E3	1.206346582746E1	1.958177292239E1	3.203645785619E1	1.255796485962E1	6.286854736625E0	24	16	257	112	33
188000000	-1.967826860471E4	-1.788688096457E4	-1.791387640145E3	-1.76201966972E4	1.079740384226E1	2.448926723937E-1	2.279682238073E1	6.809843844043E-3	5.962994129715E-1	6.5058362234E-3	1.917626359572E-5	6.617029317242E-1	-1.755111549098E3	1.359452412181E1	3.083859187126E1	3.884499111603E1	9.998920904108E0	3.908441899456E0	39	39	221	117	26
188500000	-1.967416151116E4	-1.785563160022E4	-1.818529910938E3	-1.757747520302E4	1.063616148073E1	2.70543280659E-1	1.909203904496E1	6.393674288211E-3	5.926996794797E-1	6.289707506765E-3	1.611627406627E-5	6.249708086304E-1	-1.782108419721E3	1.177143476976E1	2.844388730794E1	4.046180998362E1	1.464270201751E1	4.282583752787E0	28	8	218	165	23
189000000	-1.962327672387E4	-1.786324409054E4	-1.760032633332E3	-1.758985313515E4	1.330389587952E1	2.52177338383E-1	2.065950007628E1	7.650271834679E-3	7.142931333802E-1	6.947109374099E-3	3.890208011203E-5	8.23109064855E-1	-1.718472733517E3	1.005858894382E1	2.741425143099E1	3.602680506351E1	1.427013143186E1	3.482320001988E0	40	64	148	157	33
189500000	-1.967529997142E4	-1.788425769E4	-1.791042281422E3	-1.761248990404E4	1.042989489766E1	2.667289866167E-1	2.266006964851E1	6.930959969145E-3	6.528246177574E-1	6.801772115352E-3	2.116788149589E-5	6.758632511359E-1	-1.748995146343E3	1.373158061113E1	2.852823053102E1	3.778970316434E1	1.406098088319E1	3.355311839819E0	31	204	56	119	32
190000000	-1.970796768974E4	-1.787197431338E4	-1.835993376353E3	-1.759833841996E4	1.052191270901E1	2.569547115499E-1	2.266212976516E1	6.599179408047E-3	5.707348604825E-1	6.288282565842E-3	1.506446557904E-5	6.063309268952E-1	-1.797864110542E3	1.334725915253E1	3.537756285335E1	1.203849964041E1	1.072310801537E1	5.398716162956E0	26	267	102	11	36
190500000	-1.965552515713E4	-1.785968022928E4	-1.795844927846E3	-1.757631512977E4	1.14576273563E1	2.618655348409E-1	2.200650039159E1	6.500535096849E-3	5.667304807445E-1	6.395036813836E-3	1.484096902875E-5	5.966327031675E-1	-1.757647651635E3	7.453097572101E0	3.166971823278E1	1.104334488616E1	1.688138553193E1	3.923638044367E0	36	286	49	39	32
191000000	-1.960235963982E4	-1.780938789164E4	-1.79297174818E3	-1.754058322595E4	1.088484980636E1	2.764796315915E-1	2.180731383945E1	7.126299604457E-3	6.722489228666E-1	6.665272734109E-3	2.596241611809E-5	7.237647912019E-1	-1.752742558042E3	1.794493408649E1	3.683855571978E1	6.254861157639E1	1.229203104777E1	4.698050968148E0	36	164	29	193	20
191500000	-1.967647987042E4	-1.786458783946E4	-1.811892030961E3	-1.759669469102E4	1.140084575634E1	3.040049628079E-1	1.913109840925E1	6.530305809638E-3	6.126010570148E-1	6.495353835432E-3	1.634264905912E-5	6.224101827181E-1	-1.772402749692E3	1.351893594676E1	4.182705049617E1	3.490294228743E1	1.190437551247E1	3.894042769078E0	37	56	165	163	21
192000000	-1.965554519976E4	-1.78245442413E4	-1.831000958453E3	-1.755224058594E4	1.564721177761E1	2.704914692898E-1	2.216173801665E1	6.454263401653E-3	6.556139590061E-1	6.198229081082E-3	2.093357600434E-5	7.002960388709E-1	-1.796070501979E3	1.131045327703E1	1.282501113791E1	3.192875412873E1	1.379687043226E1	4.108523936609E0	28	15	238	139	22
192500000	-1.964563880432E4	-1.784617181984E4	-1.799466984473E3	-1.757111301141E4	1.075238496602E1	2.909866746529E-1	2.313082369234E1	6.573278602513E-3	6.694994666304E-1	6.137716067743E-3	1.985884856798E-5	6.902674116859E-1	-1.761988142243E3	1.28406448056E1	1.82472415552E1	3.159461233777E1	1.545765095479E1	5.244460274372E0	46	31	235	104	26
193000000	-1.968562137168E4	-1.787692882749E4	-1.808692544193E3	-1.758488812968E4	1.179613440336E1	2.653126063081E-1	2.050440263408E1	6.070179167168E-3	5.969823669386E-1	6.231353927915E-3	1.720701540729E-5	6.588852035764E-1	-1.766375888455E3	8.923672983051E0	2.9140641311E1	6.681132927494E0	1.766146029354E1	5.616521211741E0	24	303	32	48	35
193500000	-1.969220494966E4	-1.783771198437E4	-1.854492965286E3	-1.756065490618E4	1.571875293769E1	2.504316275655E-1	1.943815251583E1	6.224664551752E-3	6.304526711606E-1	5.872069233564E-3	1.515360656344E-5	6.568146338964E-1	-1.816220835513E3	1.107660906782E1	3.406534701323E1	1.285066943854E1	3.479394520338E1	9.613930229875E0	37	257	93	7	48
194000000	-1.967636750179E4	-1.786129654663E4	-1.815070955168E3	-1.759200733267E4	1.236237858955E1	2.533963241627E-1	2.355971724278E1	6.407952299431E-3	5.972380399993E-1	6.344580082055E-3	1.792622407642E-5	6.443313466183E-1	-1.777442392798E3	1.05345082086E1	3.112798663331E1	8.118903523168E0	1.561988305883E1	4.741337254657E0	35	267	40	71	29
194500000	-1.972711205179E4	-1.78685245596E4	-1.858587492184E3	-1.759136853712E4	1.412232532123E1	2.704197258809E-1	2.189539531819E1	5.999702671301E-3	5.772048110091E-1	5.75757508275E-3	1.275779161869E-5	6.15756607597E-1	-1.820404546792E3	1.311981260265E1	3.293434961322E1	3.797708300973E1	1.460467124917E1	5.563190754401E0	39	86	172	113	32
195000000	-1.969062517821E4	-1.780777764147E4	-1.882847536742E3	-1.753767144616E4	1.302241424298E1	2.644062518949E-1	2.098831397377E1	5.784192097755E-3	7.349066213955E-1	5.466924311434E-3	2.229923392878E-5	8.277814335773E-1	-1.841314272025E3	1.371354763335E1	3.460388677528E1	6.894103471061E0	2.335768657994E1	6.552956556E0	43	273	19	65	42
195500000	-1.969924455665E4	-1.785996133151E4	-1.839283225136E3	-1.758975244945E4	1.107128728017E1	2.661498360271E-1	2.242255826505E1	6.455235282475E-3	6.139540323483E-1	6.362540089157E-3	1.992919897461E-5	6.79632135386E-1	-1.800993696722E3	2.025949339027E1	3.349537772017E1	9.491273393415E0	1.899427219541E1	3.033843090431E0	34	257	84	40	27
196000000	-1.966574135064E4	-1.784594881981E4	-1.819792530834E3	-1.757792612301E4	1.08400682261E1	2.441579326679E-1	2.286606625707E1	6.251653409493E-3	6.643035754857E-1	6.192354855587E-3	2.212444277037E-5	7.456717295138E-1	-1.775259871162E3	8.459266792884E0	3.037600953411E1	1.627997199538E1	1.595132156094E1	4.418932879968E0	20	260	93	45	24
196500000	-1.96362733448E4	-1.781153074559E4	-1.824742599211E3	-1.754991396911E4	1.52315602694E1	2.400665932231E-1	2.097515085147E1	6.181689580296E-3	5.999676874361E-1	5.928579766485E-3	1.846167076325E-5	6.782312144297E-1	-1.785217912719E3	1.112779872261E1	3.158504973434E1	6.317000092711E1	1.534693781853E1	6.554218355937E0	37	171	42	164	28
197000000	-1.97051733136E4	-1.786816227793E4	-1.837011035666E3	-1.759141863813E4	1.021422630134E1	2.684153740467E-1	2.185513650518E1	6.316190280636E-3	5.243421301367E-1	6.061212733179E-3	1.235768683445E-5	5.73416431964E-1	-1.798144084205E3	1.123128016074E1	3.355973334338E1	1.99356918073E1	1.270641460072E1	4.341465339592E0	39	218	157	3	25
197500000	-1.968409585135E4	-1.784567314204E4	-1.838422709309E3	-1.75638310811E4	1.005815626811E1	2.538917398659E-1	1.936606946947E1	6.372232236274E-3	5.537482950779E-1	6.313365196961E-3	1.235422253552E-5	5.545844409423E-1	-1.800730677506E3	1.958746035334E1	3.122927625448E1	5.176511813038E1	9.115616745733E0	1.184057422289E1	48	226	19	5	144
198000000	-1.970304509724E4	-1.787645311779E4	-1.82659197945E3	-1.761165005028E4	1.382711706494E1	2.745250245963E-1	2.32030882213E1	6.487449969189E-3	6.304803666507E-1	6.118213963946E-3	1.971379626851E-5	6.932680886533E-1	-1.781090748686E3	1.369612661235E1	3.45963845537E1	1.359995503811E1	1.367804584384E1	4.932383867972E0	44	212	7	140	39
