Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
7500000	-1.965834463576E4	-1.790990540924E4	-1.748439226516E3	-1.763067451005E4	1.36835066102E1	2.567571529997E-1	1.96863802259E1	6.699254080036E-3	5.999794228904E-1	6.287930032242E-3	1.979670891633E-5	6.468016231187E-1	-1.70528503601E3	9.147074036491E0	2.947444002222E1	1.219543286494E1	1.222558679328E1	3.160279274291E0	43	246	111	17	25
8000000	-1.96616599723E4	-1.78611792012E4	-1.800480771097E3	-1.759703592688E4	1.310217445468E1	2.596037042692E-1	2.358805545093E1	6.22664366653E-3	5.656870679169E-1	6.192127783979E-3	1.497271449746E-5	6.201239896267E-1	-1.755174443201E3	1.116953562504E1	3.2912919071E1	3.225271693212E1	1.320818935564E1	5.712163006373E0	40	210	16	139	37
8500000	-1.9700977112E4	-1.786479062356E4	-1.836186488436E3	-1.759735131154E4	1.417629457638E1	2.512583249373E-1	2.141918455329E1	6.470451732811E-3	6.219514593645E-1	6.352285250332E-3	2.156225475973E-5	6.927875532259E-1	-1.793590151736E3	2.17599070345E1	3.678064769011E1	1.263683987727E1	1.585430791883E1	5.378616436908E0	66	213	72	47	44
9000000	-1.969062160989E4	-1.785033713225E4	-1.840284477637E3	-1.75874133446E4	1.365144122333E1	2.399423614863E-1	2.046970480021E1	6.122927130038E-3	5.617251056366E-1	6.047889883435E-3	1.328228804995E-5	6.026038762549E-1	-1.802313274445E3	7.874761556763E0	2.452806722261E1	3.538959388144E1	1.2066705581E1	4.3190363686E0	4	103	177	139	19
9500000	-1.972671775887E4	-1.792108030135E4	-1.805637457513E3	-1.765100423923E4	9.549509817562E0	2.901647996532E-1	2.422622805159E1	6.981010413949E-3	5.60494955697E-1	6.663493971984E-3	1.617821413205E-5	5.978012273724E-1	-1.76857443554E3	8.49789321661E0	3.016251346952E1	6.740956527813E0	1.201923618829E1	4.368438159325E0	23	294	23	71	31
10000000	-1.966297124548E4	-1.786604522507E4	-1.796926020416E3	-1.758736609388E4	1.556246585705E1	2.667939886535E-1	2.290933611722E1	6.830140215594E-3	7.006823148184E-1	6.293632195731E-3	2.206965955853E-5	7.081301201672E-1	-1.761507119181E3	1.366197286689E1	2.888554479842E1	8.858088237495E0	1.708661331454E1	5.69543907881E0	34	264	81	38	25
10500000	-1.964875269718E4	-1.786508715177E4	-1.783665545405E3	-1.759890993383E4	1.135126510367E1	2.396468135606E-1	2.297209331892E1	6.686578243072E-3	6.420976273101E-1	6.234064252049E-3	1.825470152854E-5	6.728212669084E-1	-1.744980868498E3	9.057938796628E0	3.242116313928E1	1.070096253203E1	1.795426343538E1	5.635369855658E0	42	250	86	26	38
11000000	-1.968033597685E4	-1.789177711807E4	-1.788558858778E3	-1.761526306716E4	1.026861217992E1	2.674488530763E-1	2.315013943563E1	6.425537543919E-3	6.300449993473E-1	6.420612212552E-3	1.851060489809E-5	6.508826348836E-1	-1.750185113799E3	1.129030978458E1	2.920062629773E1	6.818262365551E0	2.655642018364E1	4.669000940043E0	39	272	59	30	42
11500000	-1.967101368503E4	-1.786495742706E4	-1.806056257967E3	-1.759261521835E4	1.029509914054E1	2.702298035488E-1	1.94398706528E1	6.688827439716E-3	5.514444181491E-1	6.546856143702E-3	1.448383579846E-5	5.716976266439E-1	-1.767769171629E3	1.00342250483E1	3.037113272586E1	2.021064927157E1	1.263703902433E1	4.444103553604E0	39	245	16	114	28
12000000	-1.969670434786E4	-1.787552600123E4	-1.821178346637E3	-1.760389058738E4	1.008060523997E1	2.510311001195E-1	2.039800023599E1	6.221548591354E-3	5.549776175542E-1	6.258489132718E-3	1.60204065746E-5	6.336055402843E-1	-1.783872976476E3	8.337181045677E0	2.952545074687E1	3.077085213742E1	1.549007902262E1	3.907398992807E0	35	145	120	115	27
